127.0.0.1 - - [05/May/2020:17:01:40 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:58 +0700] "GET /KhoSach/ HTTP/1.1" 200 73592
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/animate.css HTTP/1.1" 200 77907
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/dangnhap.css HTTP/1.1" 200 8074
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/meanmenu.css HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/css.css HTTP/1.1" 200 19864
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/owl.theme.default.min.css HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/style.css HTTP/1.1" 200 23948
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/css/styleheader1.css HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/plugin.js HTTP/1.1" 200 50438
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/main.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/search.js HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/doimatkhau.js HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/TangSLGioHang.js HTTP/1.1" 200 7802
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/validateregister.js HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/jquery.elevateZoom-3.0.8.min.js HTTP/1.1" 200 32922
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/huydonhang.js HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/checkDangNhap.js HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/binhluan.js HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/js/pagination.js HTTP/1.1" 200 11802
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/image/888x455px_5.png HTTP/1.1" 200 385926
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/image/888x455px_4.png HTTP/1.1" 200 315886
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/image/888x455px_3.png HTTP/1.1" 200 285142
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/image/888x455px_6.png HTTP/1.1" 200 408426
0:0:0:0:0:0:0:1 - - [05/May/2020:17:01:59 +0700] "GET /KhoSach/image/menu_Sach_trong_nuoc.png HTTP/1.1" 200 244187
